나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
26,2,2,2,2,1,1,2,2,4.29,4.25,4.4,4.25,0,0,2220,2220,74,7,1915,3,123,123
32,2,2,1,2,2,2,2,1,3.76,3.63,3.8,4,0,0,4255,4255,142,12,2280,3,13,13
28,2,2,1,2,1,1,2,1,4.35,4.38,4.4,4.25,0,0,2615,2615,87,8,1125,3,123,123
26,2,2,2,1,2,1,2,1,3.53,3.5,3.6,3.5,0,0,2585,2585,86,8,850,3,13,13
27,2,2,2,1,1,2,1,1,3.29,3,4.2,2.75,0,0,2980,2980,99,9,2340,3,13,13
25,2,2,2,2,1,1,1,1,3.76,3.5,4,4,0,0,395,395,13,2,395,1,13,13
33,2,1,1,2,1,2,1,1,4.35,4.5,4,4.5,0,0,4045,4045,135,12,940,3,13,13
32,2,1,1,2,2,1,1,1,3.88,3.88,4,3.75,0,0,1640,1640,55,6,2220,2,123,123
26,2,2,2,2,1,2,1,1,3.94,3.63,4.2,4.25,1,1,1855,1291,43,4,545,2,13,13
28,2,2,1,1,1,1,2,2,3.29,3.25,2.8,4,0,0,2855,2855,95,8,1760,3,123,123
24,2,2,2,2,2,2,1,1,3.94,3.88,4.2,3.75,0,0,1245,1245,42,4,1125,2,13,13
30,2,1,1,1,2,1,2,1,3.76,3.5,4.2,3.75,0,0,2585,2585,86,8,1885,3,13,13
27,2,2,1,1,2,1,2,1,3.71,3.75,3.8,3.5,1,1,1855,1230,41,4,515,2,13,13
24,2,2,2,2,2,1,1,2,3.82,3.88,3.6,4,0,0,1215,1215,41,4,1215,2,123,123
26,2,2,1,2,1,1,2,1,3.82,3.5,4.4,3.75,1,1,1975,1603,53,6,1185,2,123,123
48,2,1,2,2,2,2,1,1,4.12,4.13,4.4,3.75,1,1,4345,4268,142,12,455,3,13,13
28,2,2,2,2,2,1,1,1,3.76,3.88,4,3.25,1,1,850,75,3,1,760,1,123,123
38,2,1,2,1,1,1,1,1,3.24,3.13,3.4,3.25,0,0,2950,2950,98,9,1365,3,13,13
29,2,2,2,1,2,1,2,1,3.94,4,4.4,3.25,0,0,2795,2795,93,8,850,3,13,13
31,2,1,2,2,2,1,1,1,4.06,4.13,4.2,3.75,0,0,3315,3315,111,10,760,3,13,13
24,2,2,1,2,1,1,1,1,4.47,4.88,4.4,3.75,0,0,1945,1945,65,7,1855,2,123,123
33,2,2,2,1,1,2,2,2,3.35,3.25,3.6,3.25,1,1,2980,2601,87,8,545,3,123,123
31,2,2,1,2,1,2,2,1,3,3.13,3,2.75,1,1,4045,3877,129,11,485,3,13,13
26,2,2,2,1,2,1,1,1,3.82,3.88,3.8,3.75,0,0,2950,2950,98,9,2370,3,13,13
32,2,2,2,2,1,1,2,2,3.65,3.63,3.8,3.5,0,0,4045,4045,135,12,760,3,13,13
27,2,2,1,2,1,1,1,1,3.47,3.38,3.8,3.25,1,1,2400,2020,67,7,1335,2,123,13
32,2,1,1,2,1,2,1,2,3.82,3.75,4.2,3.5,0,0,3315,3315,111,10,1490,3,13,13
29,2,2,2,2,1,1,1,2,3.18,3.25,3,3.25,0,0,2950,2950,98,9,2220,3,13,13
26,2,2,2,2,1,2,2,1,3.88,3.75,4.2,3.75,0,0,1790,1790,60,6,425,2,13,13
26,2,2,1,2,1,1,2,2,4,4.25,3.8,3.75,1,1,1610,986,33,3,1610,1,123,123
36,2,1,2,1,2,1,1,1,3.18,3,3.6,3,0,0,4345,4345,145,13,4345,3,13,123
32,2,1,2,1,2,1,2,1,3,3,3.2,2.75,0,0,3800,3800,127,11,3800,3,13,13
28,2,2,2,2,1,2,1,2,4.24,4.5,4,4,0,0,1490,1490,50,6,1155,2,123,13
31,2,2,2,1,1,1,2,1,3.53,3.25,4,3.5,0,0,4045,4045,135,12,790,3,13,123
26,2,2,1,1,1,2,1,2,4.12,4.25,4.2,3.75,1,1,2585,2042,68,7,850,2,123,13
